Designator,Mid X,Mid Y,Rotation,Layer
C1,91.71674,-60.761897,275.0,bottom
C10,128.343488,-79.26453,275.0,bottom
C11,125.418013,-98.131368,275.0,bottom
C12,125.022866,-117.21956,275.0,bottom
C13,149.092013,-60.682179,275.0,bottom
C14,147.431696,-79.659686,275.0,bottom
C15,145.771372,-98.637196,275.0,bottom
C16,144.111052,-117.614706,275.0,bottom
C17,167.682115,-66.770584,275.0,bottom
C18,166.021801,-85.748096,275.0,bottom
C19,163.096309,-104.614905,275.0,bottom
C2,90.056412,-79.739404,275.0,bottom
C20,162.701163,-123.703102,275.0,bottom
C21,186.659614,-68.430897,275.0,bottom
C22,184.999309,-87.408412,275.0,bottom
C23,183.338982,-106.385915,275.0,bottom
C24,181.678668,-125.363417,275.0,bottom
C25,223.505732,-67.793262,265.0,bottom
C26,225.166048,-86.770776,265.0,bottom
C27,225.561201,-105.858964,265.0,bottom
C28,228.48668,-124.725801,265.0,bottom
C29,242.483247,-66.13294,265.0,bottom
C3,87.763509,-98.66157,275.0,bottom
C30,244.143564,-85.110455,265.0,bottom
C31,245.803881,-104.087963,265.0,bottom
C32,247.464189,-123.065482,265.0,bottom
C33,261.073344,-60.044538,265.0,bottom
C34,262.733662,-79.022048,265.0,bottom
C35,263.128801,-98.110244,265.0,bottom
C36,266.054297,-116.97707,265.0,bottom
C37,280.509157,-59.444525,265.0,bottom
C38,281.82186,-78.626906,265.0,bottom
C39,283.482169,-97.604409,265.0,bottom
C4,86.735785,-117.694436,275.0,bottom
C40,285.142496,-116.58192,265.0,bottom
C41,299.249736,-59.254243,265.0,bottom
C42,300.910056,-78.231756,265.0,bottom
C43,301.035379,-97.343555,265.0,bottom
C44,304.230694,-116.186768,265.0,bottom
C45,318.448616,-60.124261,265.0,bottom
C46,320.108939,-79.101762,265.0,bottom
C47,321.769258,-98.079278,265.0,bottom
C48,323.429575,-117.05679,265.0,bottom
C49,125.210483,-140.190136,275.0,bottom
C5,110.915602,-59.891881,275.0,bottom
C50,144.187989,-141.850459,275.0,bottom
C51,165.397487,-146.561932,285.0,bottom
C52,190.094005,-149.688703,275.0,bottom
C53,219.70512,-148.827567,265.0,bottom
C54,244.096303,-144.068338,255.0,bottom
C55,265.976093,-141.069232,265.0,bottom
C56,284.590843,-139.440655,265.0,bottom
C6,109.255302,-78.869385,275.0,bottom
C66,94.218851,-83.163213,185.0,bottom
C67,132.450586,-83.320933,185.0,bottom
C68,170.07354,-90.43707,185.0,bottom
C69,229.98154,-90.811441,175.0,bottom
C7,107.594992,-97.846901,275.0,bottom
C70,267.604499,-83.695312,175.0,bottom
C71,305.825167,-83.411085,175.0,bottom
C72,194.171511,-147.485283,90.0,bottom
C73,193.1,-115.4,90.0,bottom
C8,105.934672,-116.824411,275.0,bottom
C9,130.003811,-60.28703,275.0,bottom
H1,95.1,-73.2,0.0,top
H2,170.95,-80.45,0.0,top
H3,93.9,-134.1,0.0,top
H4,171.7,-140.05,0.0,top
H5,229.1,-80.7,0.0,top
H6,304.95,-73.4,0.0,top
H7,228.05,-140.25,0.0,top
H8,305.75,-134.55,0.0,top
S1,86.323994,-64.114646,5.0,bottom
S10,122.950766,-82.617284,5.0,bottom
S11,121.29044,-101.594793,5.0,bottom
S12,119.630132,-120.572314,5.0,bottom
S13,143.699688,-64.030169,5.0,bottom
S14,142.039376,-83.007688,5.0,bottom
S15,140.379058,-101.985194,5.0,bottom
S16,138.718741,-120.962695,5.0,bottom
S17,162.289373,-70.123343,5.0,bottom
S18,160.629068,-89.100842,5.0,bottom
S19,158.968752,-108.07835,5.0,bottom
S2,84.663684,-83.092153,5.0,bottom
S20,157.308421,-127.055859,5.0,bottom
S21,181.266896,-71.783644,5.0,bottom
S22,179.606576,-90.761148,5.0,bottom
S23,177.946247,-109.73866,5.0,bottom
S24,176.285932,-128.716181,5.0,bottom
S25,218.777125,-72.03151,355.0,bottom
S26,220.437445,-91.00902,355.0,bottom
S27,222.097757,-109.986531,355.0,bottom
S28,223.758073,-128.964044,355.0,bottom
S29,237.754639,-70.3712,355.0,bottom
S3,83.00336,-102.069668,5.0,bottom
S30,239.414955,-89.348707,355.0,bottom
S31,241.075277,-108.326222,355.0,bottom
S32,242.735598,-127.303719,355.0,bottom
S33,256.344743,-64.282794,355.0,bottom
S34,258.005058,-83.260308,355.0,bottom
S35,259.665381,-102.237814,355.0,bottom
S36,261.325697,-121.215322,355.0,bottom
S37,275.432935,-63.88765,355.0,bottom
S38,277.093258,-82.865152,355.0,bottom
S39,278.75358,-101.842657,355.0,bottom
S4,81.343045,-121.047185,5.0,bottom
S40,280.413883,-120.820174,355.0,bottom
S41,294.521125,-63.492495,355.0,bottom
S42,296.18145,-82.470008,355.0,bottom
S43,297.841764,-101.447522,355.0,bottom
S44,299.502084,-120.42502,355.0,bottom
S45,313.720018,-64.36252,355.0,bottom
S46,315.380338,-83.340027,355.0,bottom
S47,317.040647,-102.317525,355.0,bottom
S48,318.700973,-121.295042,355.0,bottom
S49,119.817757,-143.542894,5.0,bottom
S5,105.522876,-63.244636,5.0,bottom
S50,138.795254,-145.203214,5.0,bottom
S51,159.504489,-148.927308,15.0,bottom
S52,184.701271,-153.041449,5.0,bottom
S53,214.976513,-153.06581,355.0,bottom
S54,240.175492,-149.063314,345.0,bottom
S55,260.884717,-145.339223,355.0,bottom
S56,279.862229,-143.678901,355.0,bottom
S6,103.862557,-82.222141,5.0,bottom
S7,102.202243,-101.199654,5.0,bottom
S8,100.541923,-120.177149,5.0,bottom
S9,124.61108,-63.639776,5.0,bottom
SW1,200.0,-139.7,0.0,bottom
SW2,194.075,-126.425,0.0,top
U1,200.0,-90.0,270.0,bottom
U10,201.5,-121.2,270.0,bottom
U11,199.948004,-111.212001,180.0,top
U2,93.432957,-92.145899,275.0,bottom
U3,131.675774,-92.177106,275.0,bottom
U4,169.287664,-99.419754,275.0,bottom
U5,230.756349,-99.667615,265.0,bottom
U6,268.379309,-92.551482,265.0,bottom
U7,306.611049,-92.393767,265.0,bottom
U8,199.873002,-152.992002,270.0,bottom
